C1_1	55000
C1_2	55000
C1_3	55000
C1_4	55000
C1_5	55000
C1_6	55000
C1_7	55000
C1_8	55000
C4_1	55000
C4_2	55000
C4_3	55000
C4_4	55000
C4_5	55000
C4_6	55000
C4_7	55000
C4_8	55000
C7_1	55000
C7_2	55000
C7_3	55000
C7_4	55000
C7_5	55000
C7_6	55000
C7_7	55000
C7_8	55000
B2_1	35000
B2_2	35000
B2_3	35000
B2_4	35000
B2_5	35000
B2_6	35000
B2_7	35000
B2_8	35000
B5_1	35000
B5_2	35000
B5_3	35000
B5_4	35000
B5_5	35000
B5_6	35000
B5_7	35000
B5_8	35000
B8_1	35000
B8_2	35000
B8_3	35000
B8_4	35000
B8_5	35000
B8_6	35000
B8_7	35000
B8_8	35000
A3_1	50000
A3_2	50000
A3_3	50000
A3_4	50000
A3_5	50000
A3_6	50000
A3_7	50000
A3_8	50000
A6_1	50000
A6_2	50000
A6_3	50000
A6_4	50000
A6_5	50000
A6_6	50000
A6_7	50000
A6_8	50000
